"ProtID","BIC1","BIC2","BIC3","BIC4","NumPeakLowBIC","NumPeakDelLowIntensity","Start1","Start2","Start3","Start3","Frac1","Frac2","Frac3","Frac4","Height1","Height2","Height3","Height4","Width1","Width2","Width3","Width4","Area1","Area2","Area3","Area4"
"AT1G07140.1", 813.7,823.1,835.8,844.8, 1,1, 24,,,, 23.8,,,, 1.1409e+05,,,, 0.79342,,,, 1.6045e+05,,,
"AT5G66120.2;AT5G66120.1", 798.1,808.2,818.9,829.7, 1,1, 24,,,, 22.9,,,, 82961,,,, 1.8997,,,, 2.7934e+05,,,
"AT1G21680.1", 729.5,739.7,749.9,, 1,1, 24,,,, 24.5,,,, 1.0075e+05,,,, 1.583,,,, 2.8267e+05,,,
"AT5G03300.1", 723.1,732.4,743.2,754.1, 1,1, 24,,,, 23.5,,,, 89887,,,, 1.7876,,,, 2.848e+05,,,
"AT5G16970.1;AT5G16980.1;AT5G16980.2", 794.3,804.8,815.7,, 1,1, 24,,,, 23.7,,,, 1.2974e+05,,,, 1.082,,,, 2.4881e+05,,,
"AT4G09670.1", 727.5,716.5,726.6,737.5, 2,1, 7,24,,, 23.7,,,, 1.8266e+05,,,, 1.4125,,,, 4.5731e+05,,,
"AT1G31180.1", 799.3,788.9,799.1,820.1, 2,1, 24,29,,, 23.5,,,, 1.486e+05,,,, 1.539,,,, 4.0535e+05,,,
"AT2G20420.1", 771.8,771.9,782.3,793.1, 1,1, 24,,,, 24,,,, 1.8055e+05,,,, 1.7351,,,, 5.5527e+05,,,
"AT4G35830.1;AT4G35830.2", 779.8,789.5,799.6,810.3, 1,1, 24,,,, 23.7,,,, 2.1449e+05,,,, 1.657,,,, 6.2994e+05,,,
"AT3G61440.1;AT3G61440.3;AT3G61440.2", 821,829.2,839.9,850.8, 1,1, 24,,,, 24.2,,,, 2.3445e+05,,,, 1.9612,,,, 8.1499e+05,,,
"AT5G14780.1", 838.5,849.2,860,870.9, 1,1, 24,,,, 24.3,,,, 3.6304e+05,,,, 1.7096,,,, 1.1001e+06,,,
"AT1G04420.1", 871.7,882.3,892.9,903.7, 1,1, 24,,,, 24.1,,,, 4.9318e+05,,,, 1.4935,,,, 1.3055e+06,,,
"AT1G35720.1", 819.9,819.3,829.9,840.3, 2,1, 15,24,,, 24,,,, 7.5714e+05,,,, 1.8188,,,, 2.4408e+06,,,
"AT3G09820.1;AT3G09820.2", 880.2,886.2,896.9,907.7, 1,1, 24,,,, 23.4,,,, 8.3037e+05,,,, 1.9212,,,, 2.8276e+06,,,
"AT2G43750.2;AT2G43750.1", 873.2,883.9,894.8,905.7, 1,1, 24,,,, 24.3,,,, 1.131e+06,,,, 1.7434,,,, 3.4947e+06,,,
"AT2G36530.1", 924.7,935.5,946.4,957.3, 1,1, 24,,,, 23.9,,,, 1.9537e+06,,,, 1.6729,,,, 5.7932e+06,,,
"AT1G68010.1;AT1G68010.2", 860.5,867.6,878,888.9, 1,1, 24,,,, 23.9,,,, 2.9455e+06,,,, 1.961,,,, 1.0238e+07,,,
